date,action,reason_codes,vrp_regime,vrp_raw,vrp_zscore,vrp_scalar,vrp_confidence,regime_label,regime_pi_width,regime_zscore,regime_multiplier,spot,vix,composite_scalar,expiry,short_strike,long_strike,spread_width,contracts,credit_received,dte,call_overlay,pnl,pnl_pct_nav,spot_at_expiry,exit_reason
2011-08-22,SKIP,BUILD_FAIL | CALL_OVERLAY_ELIGIBLE | BINDING: EQUAL | ENTER: scalar=0.000,EXTREMELY_RICH,14.70894050598145,2.5366610612843727,1.0,,STABLE,8.691667141699583,-1.4625531344014477,1.0,1123.8199462890625,42.43999862670898,,,,,,,,,,,,,
2011-09-19,SKIP,BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000,RICH,9.43876838684082,0.910895034356687,1.0,,STABLE,9.009476907205379,-0.07775733817203359,1.0,1204.0899658203125,32.72999954223633,,,,,,,,,,,,,
2011-10-24,ENTER,BINDING: REGIME | ENTER: scalar=0.500,RICH,9.762750625610352,0.8424035070725454,1.0,0.5,ELEVATED,9.175237096264528,0.6765241291559693,0.75,1254.18994140625,29.26000022888184,0.5,2011-11-18,1150.0,1055.0,95.0,10.0,6550.0,23.0,False,6550.0,0.006507376682728131,1215.65,EXPIRY
2011-11-21,ENTER,RV_CLASS_REDUCE_25% | BINDING: VRP | ENTER: scalar=0.614,LEAN,5.659248352050781,-0.28831292438228545,0.33,0.5,STABLE,9.00475045389,-0.15928432737779405,1.0,1192.97998046875,32.90999984741211,0.6139014578904337,2011-12-16,1090.0,995.0,95.0,13.0,9750.0,30.0,False,9750.0,0.009593623929941947,1219.66,EXPIRY
2011-12-19,SKIP,REGIME_CRISIS (z=1.52),NORMAL,7.4095458984375,0.08122072825395348,0.67,0.5,CRISIS,9.33794560137622,1.5184138024576255,0.0,1205.3499755859375,24.920000076293945,,,,,,,,,,,,,
2012-01-23,ENTER,BINDING: VRP | ENTER: scalar=0.819,LEAN,5.680047035217285,-0.3220615221960601,0.33,0.5,STABLE,8.58454241439247,-2.129882574018379,1.0,1316.0,18.670000076293945,0.818535277187245,2012-02-17,1250.0,1180.0,70.0,23.0,8740.0,23.0,False,8740.0,0.008526496526964801,1361.23,EXPIRY
2012-02-21,ENTER,BINDING: VRP | ENTER: scalar=0.819,LEAN,6.198756217956543,-0.14510712966148243,0.33,0.5,STABLE,8.747915298921649,-1.3256979409043348,1.0,1362.2099609375,18.190000534057617,0.818535277187245,2012-03-16,1295.0,1225.0,70.0,23.0,7820.0,29.0,False,7820.0,0.007571210038146506,1404.17,EXPIRY
2012-03-19,SKIP,VRP_INVERTED (z=-0.52),INVERTED,4.644195556640625,-0.5152064573680193,0.0,0.5,STRESSED,9.28293705178078,1.2295135036311005,0.5,1409.75,15.039999961853027,,,,,,,,,,,,,
2012-04-23,ENTER,RV_CLASS_REDUCE_25% | BINDING: VRP | ENTER: scalar=0.651,LEAN,5.905802726745605,-0.09393677446573324,0.33,0.5,ELEVATED,9.13113930357495,0.521986531856074,0.75,1366.93994140625,18.96999931335449,0.6506006839836551,2012-05-18,1295.0,1225.0,70.0,19.0,9690.0,23.0,False,9690.0,0.00929451824852525,1295.22,EXPIRY
2012-05-21,ENTER,RV_CLASS_REDUCE_25% | BINDING: VRP | ENTER: scalar=0.685,LEAN,4.565326690673828,-0.4630845679178355,0.33,0.5,STRESSED,9.272300974093291,1.172054263064965,0.5,1315.989990234375,22.01000022888184,0.6853375080936399,2012-06-15,1235.0,1160.0,75.0,19.0,9452.5,30.0,False,9452.5,0.00898524480692774,1342.84,EXPIRY
